,name,price,brend,url,voltage,country,capacity
38,"Аккумулятор LA-1272 12V 7,2Ah",,GoPower,https://www.wildberries.ru/catalog/171408069/detail.aspx,12.0,Китай,72.0
39,Аккумулятор Delta DTM 1207 (12V / 7Ah),,DELTA BATTERY,https://www.wildberries.ru/catalog/104603912/detail.aspx,12.0,Китай,72.0
40,Аккумулятор GSL 18-12 12В 18Ач 12V 18Ah,,General Security,https://www.wildberries.ru/catalog/175329199/detail.aspx,12.0,Китай,18.0
41,Аккумуляторная батарея SVC AV9-12/S 12В 9 Ач,,SVC,https://www.wildberries.ru/catalog/170867415/detail.aspx,12.0,,9.0
42,Аккумулятор GS 9-12 12V 9Ah (12В 9Ач),,General Security,https://www.wildberries.ru/catalog/148018214/detail.aspx,12.0,Китай,9.0
43,Аккумулятор Delta DT 1207 (12V / 7Ah),,DELTA BATTERY,https://www.wildberries.ru/catalog/104602943/detail.aspx,12.0,Китай,7.0
44,Аккумулятор для бесперебойника GP 12V 100 Ач,,Sunways,https://www.wildberries.ru/catalog/111316024/detail.aspx,12.0,Китай,100.0
45,Аккумулятор ибп 12v 40Ah M6/T14 котлов и насосов отопления,,Thomas,https://www.wildberries.ru/catalog/168341680/detail.aspx,12.0,Китай,40.0
46,Аккумуляторная батарея Delta GEL 12-75 (12V / 75Ah),,Delta,https://www.wildberries.ru/catalog/166566821/detail.aspx,12.0,Китай,75.0
47,Аккумулятор для инкубатора - 12v вольт 7Ah - BT 1207,,BATBEE,https://www.wildberries.ru/catalog/33021346/detail.aspx,12.0,Китай,7.0
48,"Аккумулятор 12V, для ИБП, тяговый,12v 9ah, A12HR-36W",,Challenger,https://www.wildberries.ru/catalog/213059294/detail.aspx,12.0,Китай,9.0
49,Аккумулятор для бесперебойника GEL 12V 100 Ач,,Sunways,https://www.wildberries.ru/catalog/110739241/detail.aspx,12.0,Китай,100.0
50,Аккумулятор 12v вольт 40Ah - FB 40-12,,Alfa Battery,https://www.wildberries.ru/catalog/144688681/detail.aspx,12.0,Китай,40.0
51,Аккумуляторная батарея CSB GP1272 F2 (12V28W),,CSB Battery,https://www.wildberries.ru/catalog/151516704/detail.aspx,12.0,,28.0
52,Аккумуляторная батарея КТ 12-17 12V 17А/ч Контакт,,unisistem,https://www.wildberries.ru/catalog/157004264/detail.aspx,12.0,Вьетнам,17.0
53,Аккумулятор Prometheus Energy PE 1218L 18Ah 12V для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223664004/detail.aspx,12.0,Китай,18.0
54,"Аккумулятор BT 12045 12V 4.5Ah 12В 4,5Ач",,Battbee,https://www.wildberries.ru/catalog/95655027/detail.aspx,12.0,Китай,4.5
55,"Батарея SVEN SV 1290 (12V 9Ah), F1",,Sven,https://www.wildberries.ru/catalog/71651284/detail.aspx,12.0,Китай,9.0
